"char","x_min","x_max","y_min","y_max","advance","u_min","u_max","v_min","v_max"
"0","-0.21875","0.78125","-0.25","0.96875","36","0.01968504","0.08267716","0.006557375","0.13442624"
"1","-0.15625","0.625","-0.25","0.96875","36","0.08267716","0.13188976","0.006557375","0.13442624"
"2","-0.25","0.78125","-0.25","0.96875","36","0.13188976","0.19685037","0.006557375","0.13442624"
"3","-0.21875","0.78125","-0.25","0.96875","36","0.19685037","0.25984251","0.006557375","0.13442624"
"4","-0.25","0.78125","-0.25","0.96875","36","0.25984251","0.32480314","0.006557375","0.13442624"
"5","-0.21875","0.78125","-0.25","0.96875","36","0.32480314","0.38779527","0.006557375","0.13442624"
"6","-0.21875","0.78125","-0.25","0.96875","36","0.38779527","0.45078743","0.006557375","0.13442624"
"7","-0.21875","0.78125","-0.25","0.96875","36","0.45078743","0.5137796","0.006557375","0.13442624"
"8","-0.21875","0.78125","-0.25","0.96875","36","0.5137796","0.57677174","0.006557375","0.13442624"
"9","-0.21875","0.78125","-0.25","0.96875","36","0.57677174","0.63976383","0.006557375","0.13442624"
"a","-0.21875","0.78125","-0.25","0.78125","36","0.63976383","0.7027559","0.006557375","0.114754096"
"z","-0.25","0.75","-0.25","0.78125","32","0.7027559","0.765748","0.006557375","0.114754096"
"e","-0.21875","0.78125","-0.25","0.78125","36","0.765748","0.8287402","0.006557375","0.114754096"
"r","-0.1875","0.625","-0.25","0.78125","22","0.8287402","0.8799213","0.006557375","0.114754096"
"t","-0.25","0.53125","-0.25","0.96875","18","0.8799213","0.9291339","0.006557375","0.13442624"
"y","-0.25","0.75","-0.4375","0.78125","32","0.9291339","0.99212605","-0.013114758","0.114754096"
"u","-0.1875","0.75","-0.25","0.78125","36","0.01968504","0.07874016","0.14721313","0.25540984"
"i","-0.1875","0.40625","-0.25","0.96875","14","0.07874016","0.11614173","0.14721313","0.275082"
"o","-0.21875","0.78125","-0.25","0.78125","36","0.11614173","0.17913386","0.14721313","0.25540984"
"p","-0.1875","0.78125","-0.4375","0.78125","36","0.17913386","0.24015747","0.12754099","0.25540984"
"q","-0.21875","0.75","-0.4375","0.78125","36","0.24015747","0.30118108","0.12754099","0.25540984"
"s","-0.25","0.71875","-0.25","0.78125","32","0.30118108","0.3622047","0.14721313","0.25540984"
"d","-0.21875","0.75","-0.25","0.96875","36","0.3622047","0.42322832","0.14721313","0.275082"
"f","-0.25","0.5625","-0.25","0.96875","18","0.42322832","0.47440943","0.14721313","0.275082"
"g","-0.21875","0.75","-0.4375","0.78125","36","0.47440943","0.53543305","0.12754099","0.25540984"
"h","-0.1875","0.75","-0.25","0.96875","36","0.53543305","0.59448814","0.14721313","0.275082"
"j","-0.3125","0.40625","-0.4375","0.96875","14","0.59448814","0.6397638","0.12754099","0.275082"
"k","-0.1875","0.75","-0.25","0.96875","32","0.6397638","0.69881886","0.14721313","0.275082"
"l","-0.1875","0.40625","-0.25","0.96875","14","0.69881886","0.7362204","0.14721313","0.275082"
"m","-0.1875","1.03125","-0.25","0.78125","54","0.7362204","0.81299216","0.14721313","0.25540984"
"w","-0.25","0.96875","-0.25","0.78125","46","0.81299216","0.88976383","0.14721313","0.25540984"
"x","-0.25","0.75","-0.25","0.78125","32","0.88976383","0.9527559","0.14721313","0.25540984"
"c","-0.21875","0.75","-0.25","0.78125","32","0.01968504","0.08070867","0.28786886","0.39606556"
"v","-0.25","0.75","-0.25","0.78125","32","0.08070867","0.1437008","0.28786886","0.39606556"
"b","-0.1875","0.78125","-0.25","0.96875","36","0.1437008","0.20472442","0.28786886","0.4157377"
"n","-0.1875","0.75","-0.25","0.78125","36","0.20472442","0.26377952","0.28786886","0.39606556"
"A","-0.28125","0.9375","-0.25","0.96875","42","0.26377952","0.3405512","0.28786886","0.4157377"
"Z","-0.25","0.84375","-0.25","0.96875","40","0.3405512","0.40944883","0.28786886","0.4157377"
"E","-0.1875","0.875","-0.25","0.96875","42","0.40944883","0.47637796","0.28786886","0.4157377"
"R","-0.1875","0.96875","-0.25","0.96875","46","0.47637796","0.54921263","0.28786886","0.4157377"
"T","-0.25","0.84375","-0.25","0.96875","40","0.54921263","0.6181103","0.28786886","0.4157377"
"Y","-0.25","0.9375","-0.25","0.96875","42","0.6181103","0.6929134","0.28786886","0.4157377"
"U","-0.1875","0.90625","-0.25","0.96875","46","0.6929134","0.7618111","0.28786886","0.4157377"
"I","-0.1875","0.46875","-0.25","0.96875","18","0.7618111","0.80314964","0.28786886","0.4157377"
"O","-0.21875","1","-0.25","0.96875","50","0.80314964","0.8799212","0.28786886","0.4157377"
"P","-0.1875","0.875","-0.25","0.96875","42","0.8799212","0.9468504","0.28786886","0.4157377"
"Q","-0.21875","1","-0.3125","0.96875","50","0.01968504","0.0964567","0.42196724","0.55639344"
"S","-0.21875","0.875","-0.25","0.96875","42","0.0964567","0.16535434","0.4285246","0.55639344"
"D","-0.1875","0.9375","-0.25","0.96875","46","0.16535434","0.23622048","0.4285246","0.55639344"
"F","-0.1875","0.84375","-0.25","0.96875","40","0.23622048","0.30118114","0.4285246","0.55639344"
"G","-0.21875","0.96875","-0.25","0.96875","50","0.30118114","0.37598428","0.4285246","0.55639344"
"H","-0.1875","0.90625","-0.25","0.96875","46","0.37598428","0.44488195","0.4285246","0.55639344"
"J","-0.25","0.6875","-0.25","0.96875","32","0.44488195","0.50393707","0.4285246","0.55639344"
"K","-0.1875","0.9375","-0.25","0.96875","42","0.50393707","0.57480323","0.4285246","0.55639344"
"L","-0.1875","0.78125","-0.25","0.96875","36","0.57480323","0.6358268","0.4285246","0.55639344"
"M","-0.1875","1.03125","-0.25","0.96875","54","0.6358268","0.7125985","0.4285246","0.55639344"
"W","-0.25","1.1875","-0.25","0.96875","60","0.7125985","0.8031497","0.4285246","0.55639344"
"X","-0.25","0.9375","-0.25","0.96875","42","0.8031497","0.8779528","0.4285246","0.55639344"
"C","-0.21875","0.9375","-0.25","0.96875","46","0.8779528","0.9507875","0.4285246","0.55639344"
"V","-0.25","0.9375","-0.25","0.96875","42","0.01968504","0.09448819","0.56918037","0.6970492"
"B","-0.1875","0.875","-0.25","0.96875","42","0.09448819","0.16141734","0.56918037","0.6970492"
"N","-0.1875","0.90625","-0.25","0.96875","46","0.16141734","0.23031497","0.56918037","0.6970492"
",","-0.1875","0.46875","-0.40625","0.34375","18","0.23031497","0.27165353","0.55278695","0.63147545"
